ID;LoaiDuLieu;MaDuLieu;DuLieu1;DuLieu2;MaGiaoXuRieng;UpdateDate;DeleteClient
286;1;Gioan Bt. Côn;Gioan Bt. Côn;;;;0
287;1;Giuse Nghi;Giuse Nghi;;;;0
288;1;Martinô Thịnh;Martinô Thịnh;;;;0
289;1;Martinô Thọ;Martinô Thọ;;;;0
290;1;Phaolô Ngân;Phaolô Ngân;;;;0
291;1;Lêô;Lêô;;;;0
292;1;Martinô;Martinô;;;;0
293;1;Josaphat;Josaphat;;;;0
294;1;Frances X. Cabrini;Frances X. Cabrini;;;;0
295;1;Stêphanô Thể;Stêphanô Thể;;;;0
296;1;Albertô;Albertô;;;;0
297;1;Margarita;Margarita;;;;0
298;1;Gertruđê;Gertruđê;;;;0
299;1;Elizabeth;Elizabeth;;;;0
300;1;Phanxicô Cần;Phanxicô Cần;;;;0
301;1;Maria;Maria;;;;0
302;1;Cêcilia;Cêcilia;;;;0
303;1;Clêmentê I;Clêmentê I;;;;0
304;1;Columbanô;Columbanô;;;;0
305;1;Miguel Pro;Miguel Pro;;;;0
306;1;Phêrô Cao;Phêrô Cao;;;;0
307;1;Phêrô Khoa;Phêrô Khoa;;;;0
308;1;Vinhsơn Điểm;Vinhsơn Điểm;;;;0
309;1;Catarina;Catarina;;;;0
310;1;Đaminh Xuyên;Đaminh Xuyên;;;;0
311;1;Tôma Dụ;Tôma Dụ;;;;0
312;1;Anrê Trông;Anrê Trông;;;;0
313;1;Anrê;Anrê;;;;0
314;1;Giuse Du;Giuse Du;;;;0
315;1;Phanxicô Xaviê;Phanxicô Xaviê;;;;0
316;1;Gioan Đamas;Gioan Đamas;;;;0
317;1;Nicôla;Nicôla;;;;0
318;1;Giuse Khang;Giuse Khang;;;;0
319;1;Ambrôsiô;Ambrôsiô;;;;0
320;1;Maria;Maria;;;;0
321;1;Gioan Điđacô;Gioan Điđacô;;;;0
322;1;Đamasô;Đamasô;;;;0
323;1;Maria;Maria;;;;0
324;1;Simon Hòa;Simon Hòa;;;;0
325;1;Luxia;Luxia;;;;0
326;1;Gioan Thánh Giá;Gioan Thánh Giá;;;;0
327;1;Phaolô Mỹ;Phaolô Mỹ;;;;0
328;1;Phêrô Đường;Phêrô Đường;;;;0
329;1;Phêrô Truật;Phêrô Truật;;;;0
330;1;Augustinô Mới;Augustinô Mới;;;;0
331;1;Đaminh Úy;Đaminh Úy;;;;0
332;1;Phanxicô Mậu;Phanxicô Mậu;;;;0
333;1;Stêphanô Vinh;Stêphanô Vinh;;;;0
334;1;Tôma Đệ;Tôma Đệ;;;;0
335;1;Phêrô Canisiô;Phêrô Canisiô;;;;0
336;1;Anrê Dũng Lạc;Anrê Dũng Lạc;;;;0
337;1;Phêrô Thi;Phêrô Thi;;;;0
338;1;Gioan Kêty;Gioan Kêty;;;;0
339;1;Emmanuel;Emmanuel;;;;0
340;1;Stêphanô;Stêphanô;;;;0
341;1;Gioan;Gioan;;;;0
342;1;Tôma Becket;Tôma Becket;;;;0
343;1;Sylvestê;Sylvestê;;;;0
