MaGiaoDan;MaHonPhoi;SoThuTu;MaGiaoXuRieng;UpdateDate;DeleteClient
3211;952;2;;;0
1600;952;1;;;0
1708;405;1;;;0
1707;405;1;;;0
2161;518;1;;;0
2160;518;1;;;0
596;141;1;;;0
595;141;1;;;0
2710;659;1;;;0
2708;659;1;;;0
3209;797;1;;;0
3208;797;1;;;0
3244;804;1;;;0
3243;804;1;;;0
335;76;1;;;0
334;76;1;;;0
557;129;1;;;0
556;129;1;;;0
1211;284;1;;;0
1210;284;1;;;0
1227;288;1;;;0
1226;288;1;;;0
385;89;1;;;0
384;89;1;;;0
3240;803;1;;;0
3239;803;1;;;0
3389;562;1;;;0
2311;562;1;;;0
754;177;1;;;0
753;177;1;;;0
1286;304;1;;;0
1285;304;1;;;0
3443;854;1;;;0
3442;854;1;;;0
3988;1068;1;;;0
3987;1068;1;;;0
688;162;1;;;0
687;162;1;;;0
530;124;1;;;0
529;124;1;;;0
1702;403;1;;;0
1701;403;1;;;0
3963;1059;1;;;0
3962;1059;1;;;0
886;208;1;;;0
885;208;1;;;0
780;183;1;;;0
779;183;1;;;0
3006;737;1;;;0
3005;737;1;;;0
3630;940;2;;;0
2785;940;1;;;0
208;46;1;;;0
207;46;1;;;0
153;35;1;;;0
152;35;1;;;0
2440;598;1;;;0
2439;598;1;;;0
326;74;1;;;0
325;74;1;;;0
2650;647;1;;;0
2649;647;1;;;0
2835;690;1;;;0
2834;690;1;;;0
1298;308;1;;;0
1297;308;1;;;0
3661;915;1;;;0
1751;915;1;;;0
1802;1139;;;;0
4184;1139;;;;0
4185;1140;;;;0
763;1140;;;;0
280;1142;;;;0
4190;1142;;;;0
3026;1143;;;;0
4191;1143;;;;0
61;1151;;;;0
4216;1151;;;;0
4217;1152;;;;0
290;1152;;;;0
4225;1153;;;;0
2023;1153;;;;0
2510;615;1;;;0
2509;615;1;;;0
4329;1179;;;;0
2337;1179;;;;0
664;1137;;;;0
4182;1137;;;;0
4215;1150;;;;0
2694;1150;;;;0
146;1155;;;;0
4228;1155;;;;0
1750;1158;;;;0
4232;1158;;;;0
4260;1164;;;;0
3096;1164;;;;0
